type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7.2,0.21,0.41,1.3,36,33,85,992,3.17,0.51,10.4,5
white,6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
white,6.8,0.24,0.34,4.6,32,37,135,0.9927,3.2,0.39,10.6,5
white,6.3,0.23,0.3,1.8,33,16,91,0.9906,3.28,0.4,11.8,6
white,6.5,0.28,0.34,9.9,38,30,133,0.9954,3.11,0.44,9.8,5
white,5.6,0.26,0.26,5.7,31,12,80,0.9923,3.25,0.38,10.8,5
white,6.3,0.23,0.3,1.8,33,16,91,0.9906,3.28,0.4,11.8,6
white,6.3,0.23,0.33,1.5,36,15,105,991,3.32,0.42,11.2,6
white,5.8,0.27,0.27,12.3,45,55,170,0.9972,3.28,0.42,9.3,6
white,5.9,0.26,0.4,1.3,47,12,139,0.9945,3.45,0.53,10.4,5
white,6.6,0.18,0.35,1.5,49,49,141,0.9934,3.43,0.85,10.2,7
white,7.4,0.2,0.43,7.8,45,27,153,0.9964,3.19,0.55,9,7
white,8,0.24,0.36,1.5,47,17,129,0.9948,3.2,0.54,10,6
white,6.4,0.26,0.42,9.7,44,30,140,0.9962,3.18,0.47,9.1,6
white,5.4,0.31,0.47,3,53,46,144,0.9931,3.29,0.76,10,5
white,5.4,0.29,0.47,3,52,47,145,993,3.29,0.75,10,6
white,7.1,145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6
white,5.6,0.34,0.1,1.3,31,20,68,0.9906,3.36,0.51,11.2,7
white,6.7,0.19,0.41,15.6,56,75,155,0.9995,3.2,0.44,8.8,6
white,7.8,0.18,0.46,13.6,52,38,118,998,3.15,0.5,10,6
white,7.6,0.17,0.45,11.2,54,56,137,997,3.15,0.47,10,5
white,6.3,0.12,0.36,2.1,44,47,146,0.9914,3.27,0.74,11.4,7
white,7.3,0.33,0.4,6.85,38,32,138,992,3.03,0.3,11.9,7
white,5.5,335,0.3,2.5,71,27,128,0.9924,3.14,0.51,9.6,6
white,7.3,0.33,0.4,6.85,38,32,138,992,3.03,0.3,11.9,7
white,5.8,0.4,0.42,4.4,47,38.5,245,0.9937,3.25,0.57,9.6,6
white,7.3,0.22,0.37,14.3,63,48,191,0.9978,2.89,0.38,9,6
white,7.3,0.22,0.37,14.3,63,48,191,0.9978,2.89,0.38,9,6
white,6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
white,10,0.2,0.39,1.4,0.05,19,152,994,3,0.42,10.4,6
white,6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6
white,6.4,0.24,0.32,14.9,47,54,162,0.9968,3.28,0.5,10.2,6
white,7.1,365,0.14,1.2,55,24,84,0.9941,3.15,0.43,8.9,5
white,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
white,7.3,0.22,0.37,14.3,63,48,191,0.9978,2.89,0.38,9,6
white,6.8,0.16,0.4,2.3,37,18,102,0.9923,3.49,0.42,11.4,7
white,6,0.26,0.32,3.5,28,29,113,0.9912,3.4,0.71,12.3,7
white,6,0.18,0.27,1.5,89,40,143,0.9923,3.49,0.62,10.8,6
white,6.9,0.33,0.21,1,53,39,148,0.9927,3.12,0.45,9.4,6
white,,0.29,0.48,2.3,49,36,178,0.9931,3.17,0.64,10.6,6
white,7.1,0.39,0.35,12.5,44,26,72,0.9941,3.17,0.29,11.6,5
white,6.9,0.33,0.21,1,53,39,148,0.9927,3.12,0.45,9.4,6
white,7.7,0.29,0.48,2.3,49,36,178,0.9931,3.17,0.64,10.6,6
white,6.6,905,0.19,0.8,48,17,204,0.9934,3.34,0.56,10,5
white,7.2,0.27,0.27,2.4,48,30,149,0.9936,3.1,0.51,9.2,6
white,5.1,0.33,0.22,1.6,27,18,89,0.9893,3.51,0.38,12.5,7
white,5.1,0.33,0.22,1.6,27,18,89,0.9893,3.51,0.38,12.5,7
white,6.4,0.31,0.28,1.5,37,12,119,0.9919,3.32,0.51,10.4,7
white,7.3,0.2,0.44,1.4,45,21,98,0.9924,3.15,0.46,10,7
white,5.7,0.32,0.5,2.6,49,17,155,0.9927,3.22,0.64,10,6
white,6.4,0.31,0.28,1.5,37,12,119,0.9919,3.32,0.51,10.4,7
white,7.3,0.2,0.44,1.4,45,21,98,0.9924,3.15,0.46,10,7
white,7.2,0.28,0.26,12.5,46,48,179,0.9975,3.1,0.52,9,6
white,7.5,0.35,0.28,9.6,51,26,157,0.9969,3.12,0.53,9.2,6
white,7.2,0.27,0.27,2.4,48,30,149,0.9936,3.1,0.51,9.2,6
white,6,0.36,0.39,3.2,27,20,125,991,3.38,0.39,11.3,7
white,5.1,0.33,0.22,1.6,27,18,89,0.9893,3.51,0.38,12.5,7
white,5,0.17,0.56,1.5,26,24,115,0.9906,3.48,0.39,10.8,7
white,6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5
white,6.7,0.21,0.32,5.4,47,29,140,995,3.39,0.46,9.7,6
white,7,0.3,0.38,14.9,32,60,181,0.9983,3.18,0.61,9.3,7
white,7,0.3,0.38,14.9,32,60,181,0.9983,3.18,0.61,9.3,7
white,6.5,0.36,0.32,1.1,31,13,66,0.9916,3.1,0.46,10.6,5
white,6.1,0.55,0.15,9.8,31,19,125,0.9957,3.36,0.47,10.2,6
white,7.3,0.24,0.43,2,21,20,69,0.99,3.08,0.56,12.2,6
white,6.8,0.37,0.51,11.8,44,62,163,0.9976,3.19,0.44,8.8,5
white,6.8,0.27,0.12,1.3,0.04,87,168,992,3.18,0.41,10,5
white,8.2,0.28,0.42,1.8,31,30,93,0.9917,3.09,0.39,11.4,5
white,6.3,0.2,0.4,1.5,37,35,107,0.9917,3.46,0.5,11.4,6
white,5.9,0.26,0.27,18.2,48,52,168,0.9993,3.35,0.44,9.4,5
white,6.4,0.19,0.42,2.9,32,32,83,0.9908,3.3,0.41,11.7,6
white,6.3,0.2,0.4,1.5,37,35,107,0.9917,3.46,0.5,11.4,6
white,6.8,0.37,0.51,11.8,44,62,163,0.9976,3.19,0.44,8.8,5
white,6.1,0.35,0.07,1.4,69,22,108,0.9934,3.23,0.52,9.2,5
white,7.1,0.27,0.31,18.2,46,55,252,1,3.07,0.56,8.7,5
white,6.8,0.22,0.31,6.3,35,33,170,0.9918,3.24,0.66,12.6,6
white,6.8,0.27,0.12,1.3,0.04,87,168,992,3.18,0.41,10,5
white,5.8,0.28,0.34,4,31,40,99,0.9896,3.39,0.39,12.8,7
white,6.9,0.49,0.24,1.2,49,13,125,0.9932,3.17,0.51,9.4,5
white,6.3,0.14,0.39,1.2,44,26,116,992,3.26,0.53,10.3,6
white,8.2,0.28,0.42,1.8,31,30,93,0.9917,3.09,0.39,11.4,5
white,7.2,0.25,0.39,18.95,38,42,155,0.9999,2.97,0.47,9,6
white,7.3,0.28,0.36,12.7,0.04,38,140,998,3.3,0.79,9.6,6
white,7.2,0.19,0.39,1.2,36,32,85,0.9918,3.16,0.5,10.5,5
white,7.2,0.19,0.39,1.2,36,32,85,0.9918,3.16,0.5,10.5,5
white,7.2,0.25,0.39,18.95,38,42,155,0.9999,2.97,0.47,9,6
white,7.3,0.28,0.36,12.7,0.04,38,140,998,3.3,0.79,9.6,6
white,7.4,0.21,0.27,1.2,41,27,99,0.9927,3.19,0.33,9.8,6
white,6.8,0.26,0.22,7.7,47,57,210,0.9959,3.1,0.47,9,5
white,7.4,0.21,0.27,1.2,41,27,99,0.9927,3.19,0.33,9.8,6
white,7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6
white,7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7
white,7,0.21,0.28,8.7,45,37,222,0.9954,3.25,0.54,10.4,6
white,7,0.21,0.28,8.6,45,37,221,0.9954,3.25,0.54,10.4,6
white,7,0.21,0.28,8.6,45,37,221,0.9954,3.25,0.54,10.4,6
white,6.9,0.23,0.38,8.3,47,47,162,0.9954,3.34,0.52,10.5,7
white,7,0.21,0.28,8.7,45,37,222,0.9954,3.25,0.54,10.4,6
white,7,0.21,0.28,8.6,45,37,221,0.9954,3.25,0.54,10.4,6
white,6.8,0.29,0.5,13.3,53,48,194,0.9974,3.09,0.45,9.4,5
white,7.8,0.21,0.27,1.2,51,20,89,0.9936,3.06,0.46,9.1,5
white,7.1,0.31,0.47,13.6,56,54,197,0.9978,3.1,0.49,9.3,5
white,6.8,0.29,0.5,13.3,53,48,194,0.9974,3.09,0.45,9.4,5
white,6.4,0.34,0.1,1.1,48,19,84,0.9927,3.21,0.38,9.8,5
white,7.4,155,0.34,2.3,45,73.5,214,0.9934,3.18,0.61,9.9,7
white,7.2,0.55,0.09,1.5,108,16,151,0.9938,3.07,0.57,9.2,4
white,7,0.23,0.36,7.1,28,31,104,0.9922,3.35,0.47,12.1,8
white,6.9,0.2,0.37,6.2,27,24,97,992,3.38,0.49,12.2,7
white,6.1,0.28,0.32,2.5,42,23,218.5,0.9935,3.27,0.6,9.8,5
white,6.6,0.16,0.32,1.4,35,49,186,0.9906,3.35,0.64,12.4,8
white,7.4,155,0.34,,45,73.5,214,0.9934,3.18,0.61,9.9,7
white,6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5
white,6.7,0.22,0.37,1.6,28,24,102,0.9913,,0.59,11.6,7
white,6.1,0.38,0.2,6.6,33,25,137,0.9938,3.3,0.69,10.4,6
white,6,0.25,0.28,2.2,26,54,126,0.9898,3.43,0.65,12.9,8
white,6.6,0.52,0.44,12.2,48,54,245,0.9975,3.26,0.54,9.3,6
white,6.9,0.24,0.36,20.8,31,40,139,0.9975,3.2,0.33,11,6
white,7.1,0.32,0.32,11,38,16,66,0.9937,3.24,0.4,11.5,3
white,5.8,0.28,0.27,2.6,54,30,156,0.9914,3.53,0.42,12.4,5
white,6.5,0.41,0.24,14,48,24,113,0.9982,3.44,0.53,9.8,6
white,6.5,0.41,0.24,14,48,24,113,0.9982,3.44,0.53,9.8,6
white,6.4,0.28,0.29,1.6,52,34,127,0.9929,3.48,0.56,10.5,7
white,7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5
white,6.1,0.2,0.25,1.2,38,34,128,0.9921,3.24,0.44,10.1,5
white,5.9,0.46,0.14,2.7,42,27,160,0.9931,3.46,0.51,10.6,7
white,6,0.27,0.27,1.6,46,32,113,0.9924,3.41,0.51,10.5,7
white,6.4,0.28,0.29,1.6,52,34,127,0.9929,3.48,0.56,10.5,7
white,6.4,0.41,0.24,14,48,24,113,0.9982,3.44,0.53,9.8,6
white,6.3,0.23,0.31,1.5,22,11,82,0.9892,3.3,0.4,12.9,7
white,7.1,0.21,0.27,8.6,56,26,111,0.9956,2.95,0.52,9.5,5
white,6,0.37,0.32,1,53,31,218.5,0.9924,3.29,0.72,9.8,6
white,6.1,0.43,0.35,9.1,59,83,249,0.9971,3.37,0.5,8.5,5
white,7.1,0.21,0.27,8.6,56,26,111,0.9956,2.95,0.52,9.5,5
white,7,0.25,0.29,15.2,47,40,171,0.9982,3.22,0.45,9.3,5
white,5.9,0.25,0.19,12.4,47,50,162,0.9973,3.35,0.38,9.5,5
white,6.8,0.32,0.21,2.2,44,15,68,0.9932,3.17,0.39,9.4,6
white,7.2,0.39,0.62,11,47,66,178,0.9976,3.16,0.5,8.7,5
white,6.3,0.21,0.58,10,81,34,126,0.9962,2.95,0.46,8.9,5
white,7,0.14,0.32,9,39,54,141,0.9956,3.22,0.43,9.4,6
white,6.8,0.32,0.21,2.2,44,15,68,0.9932,3.17,0.39,9.4,6
white,7.2,0.39,0.62,11,47,66,178,0.9976,3.16,0.5,8.7,5
white,7.2,0.29,0.53,18.15,47,59,182,0.9992,3.09,0.52,9.6,5
white,8.6,0.37,0.7,12.15,39,21,158,0.9983,3,0.73,9.3,6
white,6.5,0.38,0.34,3.4,36,34,200,0.9937,3.14,0.76,10,5
white,6.6,0.24,0.29,2,23,19,86,0.99,3.25,0.45,12.5,6
white,7,0.17,0.31,4.8,34,34,132,0.9944,3.36,0.48,9.6,7
white,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6
white,7,0.24,0.51,11,29,55,227,0.9965,3.03,0.61,9.5,5
white,7.4,0.28,0.36,1.1,28,42,105,0.9893,2.99,0.39,12.4,7
white,7,0.22,0.28,1.5,37,29,115,0.9927,3.11,0.55,10.5,6
white,7.1,0.55,0.13,1.7,73,21,165,994,2.97,0.58,9.2,6
white,6.3,0.22,0.33,1.7,41,67,164,0.9928,3.32,0.56,10.4,6
white,6.7,0.47,0.34,8.9,43,31,172,0.9964,3.22,0.6,9.2,5
white,5.9,0.36,0.41,1.3,47,45,104,0.9917,3.33,0.51,10.6,6
white,5.8,0.25,0.24,13.3,44,41,137,0.9972,3.34,0.42,9.5,5
white,6.7,0.47,0.34,8.9,43,31,172,0.9964,3.22,0.6,9.2,5
white,6.2,0.37,0.3,6.6,346,79,200,0.9954,3.29,0.58,9.6,5
white,6.2,0.18,0.38,1.5,28,36,117,993,3.47,0.54,9.7,6
white,6,0.16,0.37,1.5,25,43,117,0.9928,3.46,0.51,9.7,6
white,6.6,0.34,0.28,1.3,35,32,90,0.9916,3.1,0.42,10.7,6
white,7.4,0.29,0.29,1.6,45,53,180,0.9936,3.34,0.68,10.5,6
white,7.4,0.26,0.31,7.6,47,52,177,0.9962,3.13,0.45,8.9,6
white,7,0.28,0.36,1,35,8,70,0.9899,3.09,0.46,12.1,6
white,7.1,0.23,0.39,1.6,32,12,65,0.9898,3.25,0.4,12.7,7
white,7.8,0.19,0.26,8.9,39,42,182,996,3.18,0.46,9.9,6
white,6.3,0.19,0.28,1.8,22,28,158,0.9907,3.2,0.64,11.4,6
white,6.8,0.2,0.38,4.7,0.04,27,103,994,3.37,0.58,10.7,6
white,5.7,0.44,0.13,7,25,28,173,0.9913,3.33,0.48,12.5,6
white,7.2,0.4,0.62,10.8,41,70,189,0.9976,3.08,0.49,8.6,4
white,6.8,0.23,0.32,1.6,26,43,147,0.9904,3.29,0.54,12.5,6
white,5.7,335,0.34,1,0.04,13,174,992,3.27,0.66,10,5
white,7.2,0.4,0.62,10.8,41,70,189,0.9976,3.08,0.49,8.6,4
